"id";"word";"pronunciation";"partOfSpeech";"definition";"simpleMeaning";"example";"synonyms";"difficulty";"category";"audioUrl";"isLearned";"timesShown";"lastShownAt"
"word_1";"EPHEMERAL";"/ɪˈfemərəl/";"ADJECTIVE";"Lasting for a very short period of time.";"Something that doesn't last long.";"The excitement was ephemeral, fading quickly after the celebration.";"Brief, Temporary, Fleeting, Short-lived";"ADVANCED";"General";"https://api.dictionaryapi.dev/media/pronunciations/en/ephemeral-us.mp3";"0";"1";"1789657308262"
"word_2";"RESILIENT";"/rɪˈzɪliənt/";"ADJECTIVE";"Able to withstand or recover quickly from difficult conditions.";"Able to bounce back from failure or hardship.";"She remained resilient despite facing numerous setbacks in her career.";"Tough, Adaptable, Strong, Flexible";"INTERMEDIATE";"Mindset";"https://api.dictionaryapi.dev/media/pronunciations/en/resilient-us.mp3";"0";"0";""
"word_3";"SERENDIPITY";"/ˌserənˈdɪpəti/";"NOUN";"The occurrence of events by chance in a happy or beneficial way.";"Finding something good by pure luck.";"Meeting my business partner at a coffee shop was pure serendipity.";"Chance, Luck, Coincidence, Fortuity";"ADVANCED";"General";"https://api.dictionaryapi.dev/media/pronunciations/en/serendipity-us.mp3";"0";"0";""
"word_4";"CANDID";"/ˈkændɪd/";"ADJECTIVE";"Truthful and straightforward; frank.";"Honest and open without holding back.";"He gave a candid assessment of the project's shortcomings.";"Frank, Honest, Outspoken, Direct";"BEGINNER";"Communication";"https://api.dictionaryapi.dev/media/pronunciations/en/candid-us.mp3";"0";"0";""
"word_5";"ELOQUENT";"/ˈeləkwənt/";"ADJECTIVE";"Fluent or persuasive in speaking or writing.";"Expressing yourself clearly and beautifully.";"The speaker delivered an eloquent tribute to the community leaders.";"Articulate, Expressive, Persuasive, Fluent";"INTERMEDIATE";"Communication";"https://api.dictionaryapi.dev/media/pronunciations/en/eloquent-us.mp3";"0";"0";""
"word_6";"METICULOUS";"/məˈtɪkjələs/";"ADJECTIVE";"Showing great attention to detail; very careful and precise.";"Pay extremely close attention to details.";"The architect was meticulous in designing every corner of the building.";"Thorough, Precise, Painstaking, Detailed";"INTERMEDIATE";"Work & Study";"https://api.dictionaryapi.dev/media/pronunciations/en/meticulous-us.mp3";"0";"1";"1789704807578"
"word_7";"PRAGMATIC";"/præɡˈmætɪk/";"ADJECTIVE";"Dealing with things sensibly and realistically in a way based on practical considerations.";"Focusing on what works in real life.";"We need a pragmatic approach to solve this budget issue.";"Practical, Realistic, Sensible, Rational";"INTERMEDIATE";"Decision Making";"https://api.dictionaryapi.dev/media/pronunciations/en/pragmatic-us.mp3";"0";"0";""
"word_8";"UBIQUITOUS";"/juːˈbɪkwɪtəs/";"ADJECTIVE";"Present, appearing, or found everywhere.";"Found everywhere at all times.";"Smartphones have become ubiquitous in modern society.";"Omnipresent, Universal, Pervasive, Widespread";"ADVANCED";"Technology & Society";"https://api.dictionaryapi.dev/media/pronunciations/en/ubiquitous-us.mp3";"0";"0";""
"word_9";"EMPATHY";"/ˈempəθi/";"NOUN";"The ability to understand and share the feelings of another.";"Putting yourself in someone else's shoes.";"Showing empathy builds strong interpersonal relationships.";"Compassion, Understanding, Sensitivity, Sympathy";"BEGINNER";"Emotion";"https://api.dictionaryapi.dev/media/pronunciations/en/empathy-us.mp3";"0";"0";""
"word_10";"AMBIGUOUS";"/æmˈbɪɡjuəs/";"ADJECTIVE";"Open to more than one interpretation; not having one obvious meaning.";"Unclear or open to double meaning.";"The agreement's terms were ambiguous and led to disputes.";"Unclear, Vague, Equivocal, Obscure";"INTERMEDIATE";"General";"https://api.dictionaryapi.dev/media/pronunciations/en/ambiguous-us.mp3";"0";"0";""
